"yyyymmdd","Mkt-RF","SMB","HML","RF"
"20151023",    1.70,   -1.52,    0.23,   0.000
"20151030",    0.17,   -0.43,   -1.45,   0.000
"20151106",    1.38,    2.63,    0.54,   0.001
"20151113",   -3.72,   -0.89,   -0.04,   0.001
"20151120",    3.14,   -0.53,   -0.89,   0.001
"20151127",    0.38,    2.42,   -0.92,   0.001
"20151204",   -0.19,   -1.52,    0.16,   0.003
"20151211",   -3.93,   -0.85,   -1.68,   0.003
"20151218",   -0.35,    0.13,   -0.79,   0.003
"20151224",    2.83,    0.23,    1.00,   0.003
"20151231",   -0.90,   -0.78,   -0.58,   0.003
"20160108",   -6.22,   -1.77,    0.52,   0.002
"20160115",   -2.55,   -1.35,   -0.19,   0.002
"20160122",    1.38,    0.21,   -1.59,   0.002
"20160129",    1.71,   -0.62,    3.75,   0.002
"20160205",   -3.36,   -1.40,    1.19,   0.005
"20160212",   -0.82,   -0.52,   -0.40,   0.005
"20160219",    3.09,    0.95,   -1.63,   0.005
"20160226",    1.84,    1.24,   -0.10,   0.005
"20160304",    3.08,    1.22,    2.44,   0.005
"20160311",    1.00,   -0.50,    1.30,   0.005
"20160318",    1.42,   -0.28,    0.21,   0.005
"20160324",   -0.80,   -0.87,   -0.98,   0.005
"20160401",    2.06,    1.64,   -2.01,   0.002
"20160408",   -1.17,   -0.12,   -1.60,   0.002
"20160415",    1.94,    0.73,    2.09,   0.002
"20160422",    0.74,    0.61,    1.75,   0.002
"20160429",   -1.19,   -0.11,    1.72,   0.002
"20160506",   -0.63,   -1.22,   -0.53,   0.003
"20160513",   -0.52,   -0.58,   -0.76,   0.003
"20160520",    0.55,    0.19,    0.64,   0.003
"20160527",    2.43,    1.01,   -0.86,   0.003
"20160603",    0.16,    1.32,   -1.31,   0.005
"20160610",   -0.25,    0.55,   -0.09,   0.005
"20160617",   -1.20,   -0.31,   -0.15,   0.005
"20160624",   -1.60,    0.32,   -0.21,   0.005
"20160701",    3.14,   -0.62,   -0.64,   0.005
"20160708",    1.38,    0.81,   -1.41,   0.005
"20160715",    1.60,    0.58,    2.30,   0.005
"20160722",    0.60,    0.01,   -1.08,   0.005
"20160729",    0.07,    0.77,   -0.32,   0.005
"20160805",    0.56,    0.48,    0.67,   0.005
"20160812",    0.18,   -0.33,   -0.09,   0.005
"20160819",    0.15,    0.37,    1.49,   0.005
"20160826",   -0.53,    0.66,    0.36,   0.005
"20160902",    0.70,    0.14,    0.65,   0.005
"20160909",   -2.30,    0.09,    0.29,   0.005
"20160916",    0.56,    0.53,   -2.64,   0.005
"20160923",    1.26,    1.13,   -0.24,   0.005
"20160930",    0.21,   -0.20,    1.23,   0.005
"20161007",   -0.57,   -0.51,    1.22,   0.004
"20161014",   -1.12,   -1.20,    0.67,   0.004
"20161021",    0.42,   -0.30,    0.67,   0.004
"20161028",   -0.77,   -2.36,    1.45,   0.004
"20161104",   -1.89,   -0.52,    1.17,   0.004
"20161111",    4.67,    6.04,    2.49,   0.004
"20161118",    1.29,    1.00,    1.39,   0.004
"20161125",    1.64,    0.80,    0.65,   0.004
"20161202",   -1.13,   -2.13,    3.89,   0.006
"20161209",    3.35,    2.03,    1.86,   0.006
"20161216",   -0.29,   -1.37,   -0.81,   0.006
"20161223",    0.32,    0.17,    0.73,   0.006
"20161230",   -1.16,   -0.11,    0.12,   0.006
"20170106",    1.69,   -0.62,   -1.20,   0.009
"20170113",    0.09,    0.47,   -1.06,   0.009
"20170120",   -0.31,   -1.13,   -0.16,   0.009
"20170127",    1.16,    0.23,    0.58,   0.009
"20170203",    0.15,    0.41,   -0.64,   0.009
"20170210",    0.88,    0.13,   -1.23,   0.009
"20170217",    1.52,   -0.54,   -0.39,   0.009
"20170224",    0.48,   -1.09,   -0.45,   0.009
"20170303",    0.65,   -0.92,   -0.09,   0.008
"20170310",   -0.55,   -1.11,   -1.61,   0.008
"20170317",    0.48,    1.84,   -0.28,   0.008
"20170324",   -1.65,   -0.89,   -1.83,   0.008
"20170331",    1.05,    1.63,    0.83,   0.008
"20170407",   -0.44,   -1.34,    0.15,   0.014
"20170413",   -1.20,   -0.22,   -1.05,   0.014
"20170421",    1.11,    1.84,   -0.18,   0.014
"20170428",    1.64,    0.31,   -0.99,   0.014
"20170505",    0.53,   -0.77,   -0.47,   0.016
"20170512",   -0.32,   -0.26,   -1.23,   0.016
"20170519",   -0.40,   -0.81,   -0.46,   0.016
"20170526",    1.46,   -0.27,   -0.85,   0.016
"20170602",    1.09,    1.07,   -1.64,   0.015
"20170609",   -0.24,    0.59,    3.32,   0.015
"20170616",   -0.08,   -1.08,   -0.71,   0.015
"20170623",    0.31,    1.09,   -3.84,   0.015
"20170630",   -0.49,    0.03,    3.40,   0.015
"20170707",    0.08,   -0.44,    0.36,   0.018
"20170714",    1.36,   -0.12,   -1.28,   0.018
"20170721",    0.55,    0.06,   -0.46,   0.018
"20170728",   -0.03,   -0.58,    0.67,   0.018
"20170804",    0.09,   -1.78,    0.85,   0.021
"20170811",   -1.52,   -1.01,   -1.10,   0.021
"20170818",   -0.67,   -0.74,   -0.38,   0.021
"20170825",    0.82,    0.55,    0.68,   0.021
"20170901",    1.61,    1.43,   -1.43,   0.024
"20170908",   -0.77,    0.26,   -1.41,   0.024
"20170915",    1.70,    0.69,    1.79,   0.024
"20170922",    0.39,    0.86,    1.56,   0.024
"20170929",    0.91,    2.16,    0.60,   0.024
"20171006",    1.28,    0.12,   -0.19,   0.021
"20171013",    0.03,   -0.67,   -0.26,   0.021
"20171020",    0.90,   -0.80,    0.71,   0.021
"20171027",    0.25,   -0.58,   -0.07,   0.021
"20171103",    0.19,   -1.23,   -0.29,   0.021
"20171110",   -0.41,   -1.07,   -0.96,   0.021
"20171117",    0.21,    1.12,    0.04,   0.021
"20171124",    1.04,    1.11,   -0.84,   0.021
"20171201",    1.61,   -0.90,    2.22,   0.022
"20171208",    0.30,   -1.44,    0.16,   0.022
"20171215",    0.81,   -0.24,   -0.70,   0.022
"20171222",    0.54,    0.79,    0.48,   0.022
"20171229",   -0.37,    0.01,   -0.20,   0.022
"20180105",    2.54,   -0.63,   -0.44,   0.028
"20180112",    1.81,    0.39,    1.08,   0.028
"20180119",    0.84,   -0.63,   -0.49,   0.028
"20180126",    2.05,   -1.49,   -1.13,   0.028
"20180202",   -3.81,   -0.50,   -0.16,   0.028
"20180209",   -5.09,    1.03,    0.07,   0.028
"20180216",    4.51,    0.11,   -0.60,   0.028
"20180223",    0.48,    0.11,   -0.59,   0.028
