"DATE","IC4WSA"
"1972-08-12",254750
"1972-08-19",249750
"1972-08-26",253500
"1972-09-02",255500
"1972-09-09",258750
"1972-09-16",259250
"1972-09-23",257500
"1972-09-30",255750
"1972-10-07",256750
"1972-10-14",254750
"1972-10-21",255250
"1972-10-28",251000
"1972-11-04",249000
"1972-11-11",247000
"1972-11-18",250500
"1972-11-25",250750
"1972-12-02",243500
"1972-12-09",246000
"1972-12-16",244000
"1972-12-23",246750
"1972-12-30",246500
"1973-01-06",240000
"1973-01-13",235500
"1973-01-20",231250
"1973-01-27",228500
"1973-02-03",229000
"1973-02-10",224250
"1973-02-17",221000
"1973-02-24",222000
"1973-03-03",221250
"1973-03-10",222000
"1973-03-17",225000
"1973-03-24",228500
"1973-03-31",227750
"1973-04-07",232250
"1973-04-14",232750
"1973-04-21",235500
"1973-04-28",239000
"1973-05-05",239250
"1973-05-12",241250
"1973-05-19",239750
"1973-05-26",240250
"1973-06-02",236250
"1973-06-09",238250
"1973-06-16",238250
"1973-06-23",239250
"1973-06-30",240500
"1973-07-07",241000
"1973-07-14",239750
"1973-07-21",239500
"1973-07-28",242750
"1973-08-04",244750
"1973-08-11",253000
"1973-08-18",257250
"1973-08-25",258250
"1973-09-01",254750
"1973-09-08",251500
"1973-09-15",248250
"1973-09-22",246250
"1973-09-29",248000
"1973-10-06",244000
"1973-10-13",244250
"1973-10-20",245000
"1973-10-27",241500
"1973-11-03",244000
"1973-11-10",253000
"1973-11-17",254250
"1973-11-24",253750
"1973-12-01",256250
"1973-12-08",252250
"1973-12-15",256750
"1973-12-22",280000
"1973-12-29",291000
"1974-01-05",291750
"1974-01-12",308750
"1974-01-19",307500
"1974-01-26",305250
"1974-02-02",313500
"1974-02-09",320750
"1974-02-16",318250
"1974-02-23",318500
"1974-03-02",318250
"1974-03-09",302250
"1974-03-16",303250
"1974-03-23",308750
"1974-03-30",314250
"1974-04-06",312000
"1974-04-13",307500
"1974-04-20",303000
"1974-04-27",293000
"1974-05-04",290750
"1974-05-11",290500
"1974-05-18",291000
"1974-05-25",297500
"1974-06-01",295250
"1974-06-08",299750
"1974-06-15",301000
"1974-06-22",300750
"1974-06-29",312500
"1974-07-06",311750
"1974-07-13",312000
"1974-07-20",310750
"1974-07-27",309500
"1974-08-03",315500
"1974-08-10",326250
"1974-08-17",333500
"1974-08-24",339250
"1974-08-31",343000
"1974-09-07",343750
"1974-09-14",350000
"1974-09-21",356750
"1974-09-28",360750
"1974-10-05",366000
"1974-10-12",380000
"1974-10-19",384750
"1974-10-26",396750
"1974-11-02",405500
"1974-11-09",412500
"1974-11-16",427500
"1974-11-23",453500
"1974-11-30",470500
"1974-12-07",492250
"1974-12-14",507500
"1974-12-21",508250
"1974-12-28",524000
"1975-01-04",506000
"1975-01-11",517000
"1975-01-18",530500
"1975-01-25",535000
"1975-02-01",560750
"1975-02-08",558500
"1975-02-15",547250
"1975-02-22",544500
"1975-03-01",541250
"1975-03-08",542750
"1975-03-15",543000
"1975-03-22",544500
"1975-03-29",546750
"1975-04-05",543250
"1975-04-12",540500
"1975-04-19",535750
"1975-04-26",525250
"1975-05-03",517250
"1975-05-10",514000
"1975-05-17",509750
"1975-05-24",504750
"1975-05-31",497250
"1975-06-07",502750
"1975-06-14",498500
"1975-06-21",499500
"1975-06-28",495500
"1975-07-05",469000
"1975-07-12",456250
"1975-07-19",443250
"1975-07-26",442000
"1975-08-02",449750
"1975-08-09",453000
"1975-08-16",452750
"1975-08-23",453500
"1975-08-30",451500
"1975-09-06",448500
"1975-09-13",451500
"1975-09-20",445500
"1975-09-27",445250
"1975-10-04",440000
"1975-10-11",433250
"1975-10-18",426000
"1975-10-25",421250
"1975-11-01",418250
"1975-11-08",414750
"1975-11-15",410250
"1975-11-22",404000
"1975-11-29",397250
"1975-12-06",386750
"1975-12-13",382250
"1975-12-20",373250
"1975-12-27",374250
"1976-01-03",371500
"1976-01-10",380000
"1976-01-17",381250
"1976-01-24",374250
"1976-01-31",373500
"1976-02-07",361250
"1976-02-14",354750
"1976-02-21",350750
"1976-02-28",348250
"1976-03-06",347000
"1976-03-13",351000
"1976-03-20",356250
"1976-03-27",360500
"1976-04-03",368500
"1976-04-10",371750
"1976-04-17",370000
"1976-04-24",370250
"1976-05-01",371500
"1976-05-08",377000
"1976-05-15",382250
"1976-05-22",389000
"1976-05-29",393250
"1976-06-05",390000
"1976-06-12",396250
"1976-06-19",397500
"1976-06-26",393750
"1976-07-03",396750
"1976-07-10",388000
"1976-07-17",389750
"1976-07-24",391500
"1976-07-31",390000
"1976-08-07",391500
"1976-08-14",385500
"1976-08-21",387000
"1976-08-28",388500
"1976-09-04",399250
"1976-09-11",399500
"1976-09-18",400250
"1976-09-25",407500
"1976-10-02",404250
"1976-10-09",411250
"1976-10-16",411250
"1976-10-23",407750
"1976-10-30",409250
"1976-11-06",404000
"1976-11-13",399000
"1976-11-20",398750
"1976-11-27",389500
"1976-12-04",392500
"1976-12-11",395500
"1976-12-18",384750
"1976-12-25",373750
"1977-01-01",368250
"1977-01-08",373500
"1977-01-15",374250
"1977-01-22",396750
"1977-01-29",407250
"1977-02-05",444500
"1977-02-12",471750
"1977-02-19",465750
"1977-02-26",450750
"1977-03-05",399750
"1977-03-12",369250
"1977-03-19",361750
"1977-03-26",360250
"1977-04-02",357500
"1977-04-09",362750
"1977-04-16",360750
"1977-04-23",365500
"1977-04-30",371750
"1977-05-07",373750
"1977-05-14",378750
"1977-05-21",378750
"1977-05-28",380250
"1977-06-04",375000
"1977-06-11",369250
"1977-06-18",365250
"1977-06-25",361250
"1977-07-02",358000
"1977-07-09",358750
"1977-07-16",360500
"1977-07-23",360500
"1977-07-30",364250
"1977-08-06",368500
"1977-08-13",366750
"1977-08-20",367250
"1977-08-27",367250
"1977-09-03",366250
"1977-09-10",366250
"1977-09-17",365000
"1977-09-24",368750
"1977-10-01",362250
"1977-10-08",363750
"1977-10-15",362750
"1977-10-22",361500
"1977-10-29",361750
"1977-11-05",362000
"1977-11-12",356000
"1977-11-19",352250
"1977-11-26",353500
